-7.5,-2.5,0.0349303
-7.5,-2,0.85876
-7.5,-1.5,0.00376944
-7.5,-1,0.0366291
-7.5,-0.5,0.0634005
-7.5,0,0.0368106
-7.5,0.5,0.035027
-7.5,1,1.54765e-05
-7.5,1.5,0.00795686
-7.5,2,0.0122568
-7,-2.5,1.32754
-7,-2,0.175471
-7,-1.5,0.18321
-7,-1,0.206518
-7,-0.5,0.0378624
-7,0,0.0373907
-7,0.5,0.0375608
-7,1,0.0369612
-7,1.5,0.295528
-7,2,0.00602348
-6.5,-2.5,1.841
-6.5,-2,1.10292
-6.5,-1.5,0.0386574
-6.5,-1,0.168938
-6.5,-0.5,0.148371
-6.5,0,0.0389941
-6.5,0.5,0.03882
-6.5,1,0.00559344
-6.5,1.5,0.251465
-6.5,2,0.303463
-6,-2.5,1.39206
-6,-2,0.0381974
-6,-1.5,0.0363722
-6,-1,0.171013
-6,-0.5,0.234049
-6,0,0.201817
-6,0.5,0.208312
-6,1,0.175066
-6,1.5,0.0405387
-6,2,0.179369
-5.5,-2.5,1.2459
-5.5,-2,0.206853
-5.5,-1.5,0.243783
-5.5,-1,0.0414595
-5.5,-0.5,0.17341
-5.5,0,0.251978
-5.5,0.5,0.0406892
-5.5,1,0.167377
-5.5,1.5,0.3166
-5.5,2,0.0441465
-5,-2.5,0.195768
-5,-2,0.0446099
-5,-1.5,0.176988
-5,-1,0.179608
-5,-0.5,0.204594
-5,0,0.265551
-5,0.5,0.200794
-5,1,0.194256
-5,1.5,0.210063
-5,2,0.0557129
-4.5,-2.5,0.226805
-4.5,-2,0.200071
-4.5,-1.5,0.0456292
-4.5,-1,0.195946
-4.5,-0.5,0.209602
-4.5,0,0.263377
-4.5,0.5,0.238071
-4.5,1,0.22424
-4.5,1.5,0.230928
-4.5,2,0.157556
-4,-2.5,0.0531481
-4,-2,0.179235
-4,-1.5,0.204274
-4,-1,0.192553
-4,-0.5,0.22009
-4,0,0.222954
-4,0.5,0.234377
-4,1,0.196204
-4,1.5,0.0449891
-4,2,0.0424619
-3.5,-2.5,0.0499073
-3.5,-2,0.157729
-3.5,-1.5,0.185046
-3.5,-1,0.279273
-7.5,-2.5,0.205956
-7.5,-2,0.189512
