-7.5,0.5361,2.8431
-7.4,0.5408,2.8381
-7.3,0.5467,2.8651
-7.2,0.5582,2.9061
-7.1,0.5711,2.9815
-7,0.5741,2.9897
-6.9,0.5783,2.9983
-6.8,0.5748,2.9796
-6.7,0.5787,3.0122
-6.6,0.5865,3.0603
-6.5,0.6002,3.1128
-6.4,0.6148,3.1694
-6.3,0.6256,3.1537
-6.2,0.6331,3.187
-6.1,0.6401,3.2139
-6,0.6437,3.226
-5.9,0.6484,3.2388
-5.8,0.6579,3.2779
-5.7,0.6619,3.3111
-5.6,0.664,3.3059
-5.5,0.6785,3.3853
-5.4,0.6829,3.3844
-5.3,0.6784,3.334
-5.2,0.6929,3.4043
-5.1,0.6996,3.422
-5,0.6975,3.393
-4.9,0.7105,3.486
-4.8,0.7039,3.4219
-4.7,0.7159,3.4872
-4.6,0.7189,3.504
-4.5,0.7206,3.5103
-4.4,0.7253,3.5344
-4.3,0.7259,3.5421
-4.2,0.7242,3.5368
-4.1,0.7372,3.5792
-4,0.7379,3.5693
-3.9,0.733,3.5636
-3.8,0.7491,3.6204
-3.7,0.7483,3.6285
-3.6,0.7428,3.5811
-3.5,0.7536,3.6192
-3.4,0.7598,3.6708
-3.3,0.7686,3.6977
-3.2,0.7777,3.7442
-3.1,0.7718,3.6902
-3,0.7769,3.7186
-2.9,0.7896,3.7536
-2.8,0.7931,3.7756
-2.7,0.7971,3.801
-2.6,0.803,3.8184
-2.5,0.7915,3.7662
-2.4,0.8119,3.8515
-2.3,0.8086,3.8398
-2.2,0.8066,3.8241
-2.1,0.819,3.8821
-2,0.819,3.8735
-1.9,0.8164,3.8674
-1.8,0.8223,3.8755
-1.7,0.8191,3.8606
-1.6,0.8219,3.87
-1.5,0.8212,3.8671
-1.4,0.8343,3.9132
-1.3,0.8333,3.9237
-1.2,0.8249,3.8872
-1.1,0.8336,3.9442
-1,0.8331,3.9306
-0.9,0.83,3.9172
-0.8,0.8352,3.9345
-0.7,0.8319,3.9214
-0.6,0.8413,3.9866
-0.5,0.8349,3.9227
-0.4,0.8357,3.955
-0.3,0.8355,3.9424
-0.2,0.8381,3.954
-0.1,0.8338,3.9481
-9.90874e-15,0.8347,3.9273
0.1,0.8315,3.9237
0.2,0.839,3.9813
0.3,0.834,3.9217
0.4,0.8391,3.9575
0.5,0.8371,3.9482
0.6,0.838,3.9374
0.7,0.8347,3.9296
0.8,0.832,3.9248
0.9,0.8299,3.9241
1,0.8275,3.9184
1.1,0.8304,3.9278
1.2,0.8285,3.9348
1.3,0.8293,3.908
1.4,0.8279,3.8984
1.5,0.8288,3.92
1.6,0.8326,3.9194
1.7,0.8172,3.8574
1.8,0.8206,3.8799
1.9,0.8094,3.8214
2,0.8199,3.8889
2.1,0.808,3.8292
2.2,0.8065,3.8376
2.3,0.8078,3.8408
2.4,0.7976,3.8179
2.5,0.8034,3.7934
2.6,0.8001,3.8021
2.7,0.8041,3.8058
2.8,0.794,3.7887
2.9,0.798,3.805
3,0.7892,3.7503
3.1,0.7827,3.7464
3.2,0.7732,3.7223
3.3,0.767,3.7001
3.4,0.7758,3.7468
3.5,0.7642,3.6635
3.6,0.7704,3.7041
3.7,0.7528,3.6246
3.8,0.7529,3.6158
3.9,0.7466,3.6168
4,0.7461,3.5925
4.1,0.7384,3.5553
4.2,0.7436,3.6205
4.3,0.7377,3.5883
4.4,0.7337,3.5715
4.5,0.7291,3.5366
4.6,0.727,3.548
4.7,0.7245,3.5087
4.8,0.7304,3.5325
4.9,0.7192,3.4825
5,0.7147,3.4823
5.1,0.7029,3.4242
5.2,0.7113,3.4533
5.3,0.7022,3.4344
5.4,0.693,3.3982
5.5,0.6919,3.438
5.6,0.6777,3.3692
5.7,0.6686,3.2952
5.8,0.6638,3.2758
5.9,0.6565,3.2379
6,0.6582,3.288
6.1,0.6548,3.2731
6.2,0.6357,3.2031
6.3,0.6359,3.2028
6.4,0.6199,3.1246
6.5,0.6113,3.1082
6.6,0.6072,3.134
6.7,0.6002,3.0653
6.8,0.5984,3.0591
6.9,0.5981,3.0651
7,0.5927,3.0464
7.1,0.5942,3.0695
7.2,0.5717,2.948
7.3,0.5623,2.9394
7.4,0.5648,2.9375
7.5,0.5549,2.896
