-7.5,0.5354,2.6457
-7.4,0.5327,2.6383
-7.3,0.5497,2.7166
-7.2,0.5477,2.7363
-7.1,0.5417,2.6978
-7,0.5738,2.864
-6.9,0.5659,2.7703
-6.8,0.5761,2.7907
-6.7,0.5824,2.7984
-6.6,0.5952,2.8484
-6.5,0.6044,2.894
-6.4,0.6089,2.9093
-6.3,0.6156,2.9082
-6.2,0.6129,2.924
-6.1,0.6139,2.9443
-6,0.6237,2.9885
-5.9,0.6248,2.9814
-5.8,0.6347,3.017
-5.7,0.6316,3.0023
-5.6,0.6417,3.0306
-5.5,0.6508,3.0494
-5.4,0.6566,3.0625
-5.3,0.6714,3.1034
-5.2,0.6749,3.1486
-5.1,0.6764,3.1433
-5,0.6708,3.1333
-4.9,0.6763,3.1683
-4.8,0.6783,3.1896
-4.7,0.6754,3.1743
-4.6,0.6778,3.1729
-4.5,0.6836,3.1707
-4.4,0.688,3.2006
-4.3,0.6902,3.1999
-4.2,0.6962,3.2197
-4.1,0.7048,3.2616
-4,0.7073,3.2577
-3.9,0.6982,3.2351
-3.8,0.6987,3.2504
-3.7,0.7113,3.3166
-3.6,0.7183,3.3373
-3.5,0.72,3.3242
-3.4,0.7183,3.3212
-3.3,0.7264,3.3638
-3.2,0.7288,3.377
-3.1,0.7361,3.3868
-3,0.7395,3.3528
-2.9,0.7476,3.3946
-2.8,0.7491,3.4061
-2.7,0.7427,3.3876
-2.6,0.749,3.4357
-2.5,0.7461,3.4277
-2.4,0.749,3.446
-2.3,0.7574,3.483
-2.2,0.7539,3.4746
-2.1,0.7522,3.4444
-2,0.7731,3.5185
-1.9,0.7664,3.493
-1.8,0.7676,3.4765
-1.7,0.7815,3.517
-1.6,0.7745,3.4951
-1.5,0.7689,3.4828
-1.4,0.7617,3.4796
-1.3,0.7689,3.5059
-1.2,0.7702,3.5264
-1.1,0.7781,3.5585
-1,0.7717,3.5259
-0.9,0.7589,3.4639
-0.8,0.7678,3.4965
-0.7,0.7808,3.5305
-0.6,0.7779,3.5099
-0.5,0.784,3.5451
-0.4,0.7854,3.5655
-0.3,0.7812,3.5274
-0.2,0.78,3.5448
-0.1,0.7732,3.5264
-9.90874e-15,0.7798,3.5504
0.1,0.7751,3.5496
0.2,0.7785,3.5627
0.3,0.7725,3.529
0.4,0.7728,3.5059
0.5,0.7709,3.4908
0.6,0.7762,3.5137
0.7,0.7745,3.4939
0.8,0.786,3.5581
0.9,0.7761,3.518
1,0.7724,3.5128
1.1,0.7712,3.5068
1.2,0.7611,3.4797
1.3,0.7696,3.5105
1.4,0.7688,3.5335
1.5,0.7599,3.4511
1.6,0.7636,3.4659
1.7,0.7623,3.4521
1.8,0.764,3.4444
1.9,0.7754,3.4935
2,0.7599,3.4487
2.1,0.764,3.4913
2.2,0.7495,3.4044
2.3,0.7543,3.4384
2.4,0.7555,3.4753
2.5,0.7565,3.4778
2.6,0.7529,3.4503
2.7,0.7407,3.3853
2.8,0.7446,3.4042
2.9,0.7437,3.4022
3,0.7373,3.3473
3.1,0.7434,3.4019
3.2,0.7362,3.3687
3.3,0.7435,3.4079
3.4,0.7316,3.3744
3.5,0.7224,3.3299
3.6,0.7164,3.3168
3.7,0.718,3.3236
3.8,0.7075,3.2958
3.9,0.712,3.296
4,0.7095,3.3066
4.1,0.7018,3.2268
4.2,0.7108,3.2638
4.3,0.7103,3.2591
4.4,0.6989,3.213
4.5,0.7,3.2474
4.6,0.6919,3.2069
4.7,0.6806,3.1935
4.8,0.6839,3.1944
4.9,0.6887,3.2114
5,0.6794,3.1776
5.1,0.6826,3.1853
5.2,0.6634,3.0965
5.3,0.6759,3.1552
5.4,0.6817,3.1688
5.5,0.6696,3.0933
5.6,0.6584,3.0504
5.7,0.6646,3.0997
5.8,0.6506,3.0704
5.9,0.6463,3.048
6,0.634,3.0064
6.1,0.6344,3.0197
6.2,0.6233,2.9805
6.3,0.625,2.9843
6.4,0.6112,2.9112
6.5,0.6101,2.8919
6.6,0.6028,2.8867
6.7,0.6039,2.857
6.8,0.6042,2.878
6.9,0.5903,2.8394
7,0.5787,2.8138
7.1,0.5775,2.8166
7.2,0.5663,2.8041
7.3,0.553,2.7426
7.4,0.559,2.7424
7.5,0.5649,2.7899
