-7.5,0.5696,2.7805
-7.4,0.5791,2.7913
-7.3,0.5931,2.8624
-7.2,0.581,2.8143
-7.1,0.5998,2.8976
-7,0.6105,2.9604
-6.9,0.6206,2.9673
-6.8,0.6258,2.9875
-6.7,0.631,3.0153
-6.6,0.6359,3.0374
-6.5,0.6391,3.0536
-6.4,0.6448,3.0754
-6.3,0.6496,3.0868
-6.2,0.6508,3.0751
-6.1,0.6603,3.1076
-6,0.6615,3.1247
-5.9,0.6689,3.1348
-5.8,0.6754,3.1727
-5.7,0.6893,3.2099
-5.6,0.6909,3.212
-5.5,0.6911,3.1823
-5.4,0.7012,3.2667
-5.3,0.7091,3.2823
-5.2,0.7045,3.2622
-5.1,0.7147,3.3058
-5,0.7278,3.3495
-4.9,0.7263,3.3603
-4.8,0.7315,3.3488
-4.7,0.7299,3.3552
-4.6,0.7362,3.3758
-4.5,0.7404,3.3976
-4.4,0.745,3.3963
-4.3,0.748,3.412
-4.2,0.7463,3.4043
-4.1,0.7466,3.4213
-4,0.7494,3.4269
-3.9,0.7619,3.4779
-3.8,0.7673,3.4864
-3.7,0.7829,3.5534
-3.6,0.7755,3.5244
-3.5,0.775,3.5206
-3.4,0.7827,3.5458
-3.3,0.7909,3.5843
-3.2,0.8005,3.6154
-3.1,0.7902,3.5658
-3,0.7941,3.5996
-2.9,0.8027,3.6309
-2.8,0.797,3.6048
-2.7,0.8021,3.6271
-2.6,0.8041,3.6338
-2.5,0.8029,3.6381
-2.4,0.7976,3.617
-2.3,0.799,3.6066
-2.2,0.7967,3.6276
-2.1,0.8065,3.651
-2,0.8106,3.67
-1.9,0.8145,3.6856
-1.8,0.8053,3.6674
-1.7,0.8099,3.6554
-1.6,0.8047,3.6483
-1.5,0.8107,3.6566
-1.4,0.8085,3.6675
-1.3,0.8149,3.662
-1.2,0.8111,3.6695
-1.1,0.8113,3.6691
-1,0.8185,3.6918
-0.9,0.8211,3.6835
-0.8,0.8265,3.7138
-0.7,0.8177,3.6981
-0.6,0.8278,3.7405
-0.5,0.8236,3.7065
-0.4,0.8268,3.7185
-0.3,0.8259,3.7115
-0.2,0.834,3.7549
-0.1,0.8209,3.6792
-9.90874e-15,0.8266,3.7453
0.1,0.8218,3.714
0.2,0.8221,3.7153
0.3,0.829,3.7313
0.4,0.8221,3.6909
0.5,0.8188,3.6891
0.6,0.8241,3.7027
0.7,0.8221,3.7166
0.8,0.814,3.6694
0.9,0.8164,3.673
1,0.8174,3.6887
1.1,0.8138,3.6836
1.2,0.8048,3.6337
1.3,0.8059,3.6537
1.4,0.8046,3.6498
1.5,0.8049,3.6556
1.6,0.804,3.6393
1.7,0.8056,3.6439
1.8,0.8053,3.6535
1.9,0.8059,3.6488
2,0.8044,3.6478
2.1,0.7974,3.5975
2.2,0.8065,3.6222
2.3,0.8081,3.6563
2.4,0.7905,3.5731
2.5,0.7948,3.6053
2.6,0.7921,3.5932
2.7,0.7993,3.5975
2.8,0.7975,3.5846
2.9,0.7906,3.5715
3,0.7875,3.5607
3.1,0.7829,3.5567
3.2,0.778,3.538
3.3,0.7855,3.5451
3.4,0.7705,3.4715
3.5,0.7743,3.5172
3.6,0.7668,3.4849
3.7,0.757,3.4376
3.8,0.759,3.4807
3.9,0.7547,3.4366
4,0.7481,3.4294
4.1,0.7449,3.4037
4.2,0.7396,3.3911
4.3,0.7393,3.3798
4.4,0.7398,3.3957
4.5,0.7254,3.3411
4.6,0.7311,3.3597
4.7,0.7228,3.307
4.8,0.7202,3.3399
4.9,0.712,3.2798
5,0.7086,3.2553
5.1,0.7042,3.2385
5.2,0.7051,3.2535
5.3,0.6969,3.2455
5.4,0.6895,3.1976
5.5,0.6944,3.2316
5.6,0.6897,3.1908
5.7,0.6854,3.1646
5.8,0.676,3.1177
5.9,0.6847,3.1854
6,0.6752,3.1233
6.1,0.6571,3.0753
6.2,0.657,3.0818
6.3,0.6628,3.1192
6.4,0.652,3.0577
6.5,0.6462,3.036
6.6,0.6419,3.0472
6.7,0.6358,3.0058
6.8,0.6411,3.0174
6.9,0.6211,2.9422
7,0.6198,2.9606
7.1,0.603,2.8869
7.2,0.5935,2.8837
7.3,0.5932,2.8887
7.4,0.5723,2.7955
7.5,0.5772,2.8471
