-7.5,0.5791,2.7265
-7.4,0.5851,2.7394
-7.3,0.6014,2.7822
-7.2,0.5984,2.7322
-7.1,0.6293,2.8629
-7,0.6268,2.8312
-6.9,0.6349,2.8743
-6.8,0.629,2.8682
-6.7,0.6345,2.8938
-6.6,0.651,2.9547
-6.5,0.6463,2.9519
-6.4,0.6441,2.9209
-6.3,0.6473,2.9446
-6.2,0.6615,3.012
-6.1,0.6668,3.0085
-6,0.6688,2.9905
-5.9,0.6709,3.0039
-5.8,0.6802,3.0236
-5.7,0.6858,3.0532
-5.6,0.6891,3.0681
-5.5,0.6916,3.0823
-5.4,0.6957,3.099
-5.3,0.701,3.1076
-5.2,0.6961,3.1085
-5.1,0.7074,3.1457
-5,0.7112,3.1786
-4.9,0.7147,3.1962
-4.8,0.715,3.1726
-4.7,0.705,3.1375
-4.6,0.7141,3.1554
-4.5,0.7285,3.2138
-4.4,0.7301,3.2033
-4.3,0.7345,3.2204
-4.2,0.7264,3.2111
-4.1,0.7334,3.2499
-4,0.7354,3.2477
-3.9,0.746,3.3164
-3.8,0.7425,3.29
-3.7,0.7605,3.3716
-3.6,0.7586,3.3616
-3.5,0.7629,3.3489
-3.4,0.7671,3.3732
-3.3,0.7635,3.3495
-3.2,0.7635,3.3295
-3.1,0.7666,3.3146
-3,0.7762,3.3739
-2.9,0.7795,3.3804
-2.8,0.7717,3.3454
-2.7,0.7765,3.399
-2.6,0.7832,3.4376
-2.5,0.7879,3.437
-2.4,0.7943,3.471
-2.3,0.7813,3.418
-2.2,0.7901,3.4423
-2.1,0.7982,3.4729
-2,0.7905,3.4532
-1.9,0.7958,3.4503
-1.8,0.7968,3.4585
-1.7,0.8016,3.4797
-1.6,0.8012,3.4722
-1.5,0.7915,3.4362
-1.4,0.8006,3.4868
-1.3,0.8074,3.5217
-1.2,0.8068,3.5018
-1.1,0.8084,3.5348
-1,0.8149,3.5689
-0.9,0.8094,3.5045
-0.8,0.8114,3.5337
-0.7,0.8009,3.4809
-0.6,0.8174,3.5412
-0.5,0.8175,3.5126
-0.4,0.8128,3.5111
-0.3,0.8078,3.5032
-0.2,0.8052,3.4782
-0.1,0.8139,3.5369
-9.90874e-15,0.8111,3.5423
0.1,0.8064,3.4917
0.2,0.8168,3.5704
0.3,0.8094,3.5243
0.4,0.8112,3.5247
0.5,0.8079,3.5104
0.6,0.8101,3.512
0.7,0.8098,3.5242
0.8,0.8107,3.5114
0.9,0.8084,3.5039
1,0.8028,3.4869
1.1,0.8089,3.5138
1.2,0.8028,3.4819
1.3,0.81,3.5382
1.4,0.8078,3.5233
1.5,0.81,3.5361
1.6,0.8037,3.5031
1.7,0.8014,3.4727
1.8,0.7986,3.4603
1.9,0.7853,3.4057
2,0.7956,3.4432
2.1,0.8022,3.4694
2.2,0.7987,3.4542
2.3,0.7973,3.4641
2.4,0.7935,3.4525
2.5,0.7912,3.4695
2.6,0.7864,3.4625
2.7,0.7864,3.4285
2.8,0.7885,3.4516
2.9,0.7764,3.3939
3,0.7819,3.4421
3.1,0.7809,3.3922
3.2,0.7706,3.3709
3.3,0.7743,3.3599
3.4,0.7721,3.3531
3.5,0.7636,3.3313
3.6,0.7543,3.3082
3.7,0.7585,3.3171
3.8,0.7658,3.359
3.9,0.7631,3.3604
4,0.7505,3.3012
4.1,0.7511,3.3219
4.2,0.7398,3.2709
4.3,0.7391,3.2756
4.4,0.7416,3.2703
4.5,0.7322,3.2358
4.6,0.7325,3.2223
4.7,0.7291,3.2095
4.8,0.7185,3.1513
4.9,0.7231,3.2015
5,0.7229,3.1966
5.1,0.721,3.1928
5.2,0.7211,3.2072
5.3,0.7134,3.1875
5.4,0.7137,3.1862
5.5,0.7103,3.1692
5.6,0.7107,3.1722
5.7,0.7066,3.1206
5.8,0.6931,3.0766
5.9,0.6921,3.0576
6,0.6973,3.076
6.1,0.6824,3.0609
6.2,0.6682,2.987
6.3,0.679,3.0301
6.4,0.6655,2.9889
6.5,0.6614,3.0076
6.6,0.6511,2.9649
6.7,0.6399,2.9237
6.8,0.6515,2.9794
6.9,0.6398,2.9142
7,0.6309,2.8563
7.1,0.6264,2.8244
7.2,0.6325,2.8648
7.3,0.6253,2.8079
7.4,0.6184,2.809
7.5,0.6142,2.8072
